"seller","day_of_week","income"
Johnson White,Saturday,91955960.2100
Johnson White,Sunday,88933984.0600
Livia Karsen,Monday,132386625.1100
Livia Karsen,Tuesday,145696077.9400
Livia Karsen,Wednesday,156662691.0800
Livia Karsen,Thursday,168820566.2000
Livia Karsen,Friday,172939429.3300
Livia Karsen,Saturday,142421334.5200
Livia Karsen,Sunday,137975384.7400
Marjorie Green,Monday,97539868.3000
Marjorie Green,Tuesday,102488970.8000
Marjorie Green,Wednesday,94949352.3500
Marjorie Green,Thursday,90204716.3500
Marjorie Green,Friday,99954936.8500
Marjorie Green,Saturday,95303142.6500
Marjorie Green,Sunday,104815534.0000
Meander Smith,Monday,52160238.2400
Meander Smith,Tuesday,63913954.1100
Meander Smith,Wednesday,49655899.3500
Meander Smith,Thursday,56688841.3800
Meander Smith,Friday,53551957.7700
Meander Smith,Saturday,53094397.9200
Meander Smith,Sunday,56678279.7600
Michael O'Leary,Monday,138096277.5400
Michael O'Leary,Tuesday,125258270.6900
Michael O'Leary,Wednesday,134525040.6200
Michael O'Leary,Thursday,130193802.8700
Michael O'Leary,Friday,142326764.0900
Michael O'Leary,Saturday,131118669.3000
Michael O'Leary,Sunday,125981634.7200
Michel DeFrance,Monday,479584920.8300
Michel DeFrance,Tuesday,467420386.5100
Michel DeFrance,Wednesday,439203900.6000
Michel DeFrance,Thursday,481154816.9500
Michel DeFrance,Friday,473980678.9600
Michel DeFrance,Saturday,480574641.0900
Michel DeFrance,Sunday,438321488.9600
Morningstar Greene,Monday,67381290.7900
Morningstar Greene,Tuesday,67737440.5600
Morningstar Greene,Wednesday,64838804.1000
Morningstar Greene,Thursday,61407061.7500
Morningstar Greene,Friday,62929144.5600
Morningstar Greene,Saturday,64598714.8400
Morningstar Greene,Sunday,68473053.9400
Reginald Blotchet-Halls,Monday,103178571.2000
Reginald Blotchet-Halls,Tuesday,89298153.6000
Reginald Blotchet-Halls,Wednesday,80548671.2000
Reginald Blotchet-Halls,Thursday,89971577.6000
Reginald Blotchet-Halls,Friday,96796981.6000
Reginald Blotchet-Halls,Saturday,92451664.0000
Reginald Blotchet-Halls,Sunday,80496472.8000
Sheryl Hunter,Monday,153301531.3500
Sheryl Hunter,Tuesday,163754750.6200
Sheryl Hunter,Wednesday,140290965.2300
Sheryl Hunter,Thursday,148434253.2900
Sheryl Hunter,Friday,158669557.2900
Sheryl Hunter,Saturday,143802265.3700
Sheryl Hunter,Sunday,148514539.3500
Stearns MacFeather,Monday,30778276.0400
Stearns MacFeather,Tuesday,31056505.6900
Stearns MacFeather,Wednesday,24953854.8500
Stearns MacFeather,Thursday,22585496.7600
Stearns MacFeather,Friday,28022436.1800
Stearns MacFeather,Saturday,27623848.1000
Stearns MacFeather,Sunday,27431434.6100
Sylvia Panteley,Monday,96399427.3000
Sylvia Panteley,Tuesday,99289901.4000
Sylvia Panteley,Wednesday,85876350.8000
Sylvia Panteley,Thursday,91590683.1000
Sylvia Panteley,Friday,91390800.9000
Sylvia Panteley,Saturday,87097890.0000
Sylvia Panteley,Sunday,95337213.2000
