"seller","day_of_week","income"
Deb Waldal,Saturday,5398400.0000
Deb Waldal,Sunday,5061000.0000
Dennis Wu,Monday,57404480.0000
Dennis Wu,Tuesday,60040400.0000
Dennis Wu,Wednesday,56818720.0000
Dennis Wu,Thursday,57697360.0000
Dennis Wu,Friday,60919040.0000
Dennis Wu,Saturday,51546880.0000
Dennis Wu,Sunday,57990240.0000
Devin Nelson,Monday,823410.0000
Devin Nelson,Tuesday,782239.5000
Devin Nelson,Wednesday,864580.5000
Devin Nelson,Thursday,494046.0000
Devin Nelson,Friday,658728.0000
Devin Nelson,Saturday,658728.0000
Devin Nelson,Sunday,658728.0000
Donald Martinez,Monday,326141.7900
Donald Martinez,Tuesday,150526.9800
Donald Martinez,Wednesday,150526.9800
Donald Martinez,Thursday,326141.7900
Donald Martinez,Friday,225790.4700
Donald Martinez,Saturday,100351.3200
Donald Martinez,Sunday,175614.8100
Donald Raman,Monday,23099906.1100
Donald Raman,Tuesday,20884846.6200
Donald Raman,Wednesday,20884846.6200
Donald Raman,Thursday,22467031.9700
Donald Raman,Friday,22783469.0400
Donald Raman,Saturday,21517720.7600
Donald Raman,Sunday,22783469.0400
Eddie Gomez,Monday,11129272.0000
Eddie Gomez,Tuesday,12719168.0000
Eddie Gomez,Wednesday,9703848.0000
Eddie Gomez,Thursday,9594200.0000
Eddie Gomez,Friday,11238920.0000
Eddie Gomez,Saturday,10800328.0000
Eddie Gomez,Sunday,9703848.0000
Eduardo Brown,Monday,506200.0000
Eduardo Brown,Tuesday,404960.0000
Eduardo Brown,Wednesday,404960.0000
Eduardo Brown,Thursday,455580.0000
Eduardo Brown,Friday,506200.0000
Eduardo Brown,Saturday,303720.0000
Eduardo Brown,Sunday,455580.0000
Eduardo Butler,Monday,7365840.0000
Eduardo Butler,Tuesday,7734132.0000
Eduardo Butler,Wednesday,5892672.0000
Eduardo Butler,Thursday,5156088.0000
Eduardo Butler,Friday,4419504.0000
Eduardo Butler,Saturday,6629256.0000
Eduardo Butler,Sunday,12153636.0000
Eduardo Walker,Monday,128016.0000
Eduardo Walker,Tuesday,192024.0000
Eduardo Walker,Wednesday,164592.0000
Eduardo Walker,Thursday,155448.0000
Eduardo Walker,Friday,155448.0000
Eduardo Walker,Saturday,182880.0000
Eduardo Walker,Sunday,155448.0000
Edwin Deng,Monday,100143143.1000
Edwin Deng,Tuesday,108125567.5500
Edwin Deng,Wednesday,89983693.8000
Edwin Deng,Thursday,79098569.5500
Edwin Deng,Friday,91435043.7000
Edwin Deng,Saturday,84178294.2000
Edwin Deng,Sunday,98691793.2000
Edwin Li,Monday,3834513.7000
Edwin Li,Tuesday,3067610.9600
Edwin Li,Wednesday,3451062.3300
Edwin Li,Thursday,2300708.2200
Edwin Li,Friday,4217965.0700
Edwin Li,Saturday,3067610.9600
Edwin Li,Sunday,2684159.5900
Erik Gutierrez,Monday,6902124.6600
Erik Gutierrez,Tuesday,6518673.2900
Erik Gutierrez,Wednesday,5368319.1800
Erik Gutierrez,Thursday,6135221.9200
Erik Gutierrez,Friday,7285576.0300
Erik Gutierrez,Saturday,8052478.7700
Erik Gutierrez,Sunday,4984867.8100
Ethan Clark,Monday,6886016.2400
Ethan Clark,Tuesday,3443008.1200
Ethan Clark,Wednesday,6025264.2100
Ethan Clark,Thursday,10329024.3600
Ethan Clark,Friday,9468272.3300
Ethan Clark,Saturday,10329024.3600
Ethan Clark,Sunday,4303760.1500
Ethan Lal,Monday,109195624.2000
Ethan Lal,Tuesday,118295259.5500
Ethan Lal,Wednesday,136494530.2500
Ethan Lal,Thursday,147414092.6700
Ethan Lal,Friday,143774238.5300
Ethan Lal,Saturday,116475332.4800
Ethan Lal,Sunday,112835478.3400
Ethan Perry,Monday,1731789.6000
Ethan Perry,Tuesday,1781986.4000
Ethan Perry,Wednesday,1656494.4000
Ethan Perry,Thursday,2032970.4000
Ethan Perry,Friday,1455707.2000
Ethan Perry,Saturday,1882380.0000
Ethan Perry,Sunday,1656494.4000
Ethan Sharma,Monday,616902.8800
Ethan Sharma,Tuesday,732572.1700
Ethan Sharma,Wednesday,655459.3100
Ethan Sharma,Thursday,694015.7400
Ethan Sharma,Friday,809685.0300
Ethan Sharma,Saturday,578346.4500
Ethan Sharma,Sunday,578346.4500
Evelyn Perez,Monday,337792.0000
Evelyn Perez,Tuesday,337792.0000
Evelyn Perez,Wednesday,380016.0000
Evelyn Perez,Thursday,337792.0000
Evelyn Perez,Friday,253344.0000
Evelyn Perez,Saturday,422240.0000
Evelyn Perez,Sunday,380016.0000
Fernando Jenkins,Monday,68295457.6500
Fernando Jenkins,Tuesday,69335490.0000
Fernando Jenkins,Wednesday,69335490.0000
Fernando Jenkins,Thursday,59975198.8500
Fernando Jenkins,Friday,72455587.0500
Fernando Jenkins,Saturday,65868715.5000
Fernando Jenkins,Sunday,74882329.2000
Gabriella Rivera,Monday,117923028.1100
Gabriella Rivera,Tuesday,109315507.8100
Gabriella Rivera,Wednesday,110176259.8400
Gabriella Rivera,Thursday,109315507.8100
Gabriella Rivera,Friday,121366036.2300
Gabriella Rivera,Saturday,106733251.7200
Gabriella Rivera,Sunday,99847235.4800
Gabrielle price,Monday,6933549.0000
Gabrielle price,Tuesday,7626903.9000
Gabrielle price,Wednesday,5200161.7500
Gabrielle price,Thursday,6933549.0000
Gabrielle price,Friday,6586871.5500
Gabrielle price,Saturday,5893516.6500
Gabrielle price,Sunday,5893516.6500
Garrett Murphy,Monday,1746504.0000
Garrett Murphy,Tuesday,2039112.0000
Garrett Murphy,Wednesday,1728216.0000
Garrett Murphy,Thursday,2066544.0000
Garrett Murphy,Friday,1792224.0000
Garrett Murphy,Saturday,1728216.0000
Garrett Murphy,Sunday,1581912.0000
Gerald Martinez,Monday,385564.3000
Gerald Martinez,Tuesday,347007.8700
Gerald Martinez,Wednesday,269895.0100
Gerald Martinez,Thursday,347007.8700
Gerald Martinez,Friday,308451.4400
Gerald Martinez,Saturday,424120.7300
Gerald Martinez,Sunday,231338.5800
Glenn Lu,Monday,50898237.0000
Glenn Lu,Tuesday,55596535.8000
Glenn Lu,Wednesday,47374512.9000
Glenn Lu,Thursday,52072811.7000
Glenn Lu,Friday,48940612.5000
Glenn Lu,Saturday,48157562.7000
Glenn Lu,Sunday,46199938.2000
Glenn Zeng,Monday,269817.6000
Glenn Zeng,Tuesday,269817.6000
Glenn Zeng,Wednesday,166041.6000
Glenn Zeng,Thursday,103776.0000
Glenn Zeng,Friday,103776.0000
Glenn Zeng,Saturday,124531.2000
Glenn Zeng,Sunday,186796.8000
Grant Andersen,Monday,3817413.6000
Grant Andersen,Tuesday,3643894.8000
Grant Andersen,Wednesday,4048772.0000
Grant Andersen,Thursday,4222290.8000
Grant Andersen,Friday,4280130.4000
Grant Andersen,Saturday,3528215.6000
Grant Andersen,Sunday,3933092.8000
Hailey Coleman,Monday,1029705.6000
Hailey Coleman,Tuesday,882604.8000
Hailey Coleman,Wednesday,686470.4000
Hailey Coleman,Thursday,1078739.2000
Hailey Coleman,Friday,539369.6000
Hailey Coleman,Saturday,1127772.8000
Hailey Coleman,Sunday,588403.2000
Hailey Lopez,Monday,3860736.0000
Hailey Lopez,Tuesday,4913664.0000
Hailey Lopez,Wednesday,2105856.0000
Hailey Lopez,Thursday,2105856.0000
Hailey Lopez,Friday,2105856.0000
Hailey Lopez,Saturday,2456832.0000
Hailey Lopez,Sunday,3509760.0000
Hailey Rivera,Monday,3654448.0000
Hailey Rivera,Tuesday,4698576.0000
Hailey Rivera,Wednesday,5481672.0000
Hailey Rivera,Thursday,5220640.0000
Hailey Rivera,Friday,5220640.0000
Hailey Rivera,Saturday,3393416.0000
Hailey Rivera,Sunday,3654448.0000
Hannah Jenkins,Monday,1746787.3800
Hannah Jenkins,Tuesday,1343682.6000
Hannah Jenkins,Wednesday,806209.5600
Hannah Jenkins,Thursday,1612419.1200
Hannah Jenkins,Friday,671841.3000
Hannah Jenkins,Saturday,1209314.3400
Hannah Jenkins,Sunday,671841.3000
Harold Subram,Monday,136391965.5000
Harold Subram,Tuesday,157927539.0000
Harold Subram,Wednesday,128495588.5500
Harold Subram,Thursday,137827670.4000
Harold Subram,Friday,149313309.6000
Harold Subram,Saturday,135674113.0500
Harold Subram,Sunday,142134785.1000
Henry Prasad,Monday,6902893.4000
Henry Prasad,Tuesday,5817045.0000
Henry Prasad,Wednesday,4576075.4000
Henry Prasad,Thursday,5429242.0000
Henry Prasad,Friday,4498514.8000
Henry Prasad,Saturday,5196560.2000
Henry Prasad,Sunday,5041439.0000
Isabel Long,Monday,8318128.0000
Isabel Long,Tuesday,8275904.0000
Isabel Long,Wednesday,10175984.0000
Isabel Long,Thursday,7642544.0000
Isabel Long,Friday,7473648.0000
Isabel Long,Saturday,8824816.0000
Isabel Long,Sunday,7895888.0000
Isabel Powell,Monday,18318.4000
Isabel Powell,Tuesday,100751.2000
Isabel Powell,Wednesday,54955.2000
Isabel Powell,Thursday,91592.0000
Isabel Powell,Friday,109910.4000
Isabel Powell,Saturday,54955.2000
Isabel Powell,Sunday,82432.8000
Isabella Evans,Monday,886968.0000
Isabella Evans,Tuesday,720661.5000
Isabella Evans,Wednesday,609790.5000
Isabella Evans,Thursday,997839.0000
Isabella Evans,Friday,1053274.5000
Isabella Evans,Saturday,942403.5000
Isabella Evans,Sunday,1385887.5000
Isabella Mitchell,Monday,19844941.2000
Isabella Mitchell,Tuesday,17954946.8000
Isabella Mitchell,Wednesday,17009949.6000
Isabella Mitchell,Thursday,19844941.2000
Isabella Mitchell,Friday,14174958.0000
Isabella Mitchell,Saturday,17954946.8000
Isabella Mitchell,Sunday,16064952.4000
Isabelle Henderson,Monday,374650.0800
Isabelle Henderson,Tuesday,163909.4100
Isabelle Henderson,Wednesday,140493.7800
Isabelle Henderson,Thursday,140493.7800
Isabelle Henderson,Friday,140493.7800
Isabelle Henderson,Saturday,163909.4100
Isabelle Henderson,Sunday,210740.6700
Jack Hayes,Monday,3514560.0000
Jack Hayes,Tuesday,2343040.0000
Jack Hayes,Wednesday,878640.0000
Jack Hayes,Thursday,3514560.0000
Jack Hayes,Friday,2635920.0000
Jack Hayes,Saturday,3514560.0000
Jack Hayes,Sunday,878640.0000
Jack Richins,Monday,6486898.5000
Jack Richins,Tuesday,6054438.6000
Jack Richins,Wednesday,6775205.1000
Jack Richins,Thursday,6150540.8000
Jack Richins,Friday,6054438.6000
Jack Richins,Saturday,5429774.3000
Jack Richins,Sunday,6583000.7000
Jackson Foster,Monday,2449425.6000
Jackson Foster,Tuesday,1632950.4000
Jackson Foster,Wednesday,816475.2000
Jackson Foster,Thursday,1632950.4000
Jackson Foster,Friday,4898851.2000
Jackson Foster,Saturday,1632950.4000
Jacob Martinez,Monday,0.0000
Jacob Martinez,Tuesday,0.0000
Jacob Martinez,Wednesday,0.0000
Jacob Martinez,Thursday,0.0000
